Table 03C Robusta Coffee Production


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Robusta Production,
                        
 Albania,0,0,0,0,0,0,
 Algeria,0,0,0,0,0,0,
 Angola,32,30,30,20,25,25,
 Argentina,0,0,0,0,0,0,
 Armenia,0,0,0,0,0,0,
 Australia,0,0,0,0,0,0,
 Benin,0,0,0,0,0,0,
 Bolivia,0,0,0,0,0,0,
 Bosnia and Herzegovina,0,0,0,0,0,0,
 Brazil,18500,20200,21700,22800,21400,21700,
 Burundi,0,0,0,0,0,0,
 Cameroon,425,350,250,200,260,275,
 Canada,0,0,0,0,0,0,
 Central African Republic,0,0,0,0,0,0,
 Chile,0,0,0,0,0,0,
 China,0,0,0,0,0,0,
 Colombia,0,0,0,0,0,0,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),180,175,200,190,200,200,
 Costa Rica,0,0,0,0,0,0,
 Cote dchr(39)Ivoire,1775,910,1110,1020,1350,1400,
 Croatia,0,0,0,0,0,0,
 Cuba,0,0,0,0,0,0,
 Dominican Republic,0,0,0,0,0,0,
 Ecuador,120,167,170,241,250,250,
 Egypt,0,0,0,0,0,0,
 El Salvador,0,0,0,0,0,0,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,0,0,0,0,0,0,
 European Union,0,0,0,0,0,0,
 Gabon,0,0,0,0,0,0,
 Georgia,0,0,0,0,0,0,
 Ghana,0,0,0,0,0,0,
 Guatemala,130,120,130,120,120,120,
 Guinea,145,70,265,140,200,175,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,0,0,0,0,0,0,
 India,3517,3917,4117,4200,4600,4600,
 Indonesia,9450,9400,9300,9500,6800,9500,
 Iran,0,0,0,0,0,0,
 Jamaica,0,0,0,0,0,0,
 Japan,0,0,0,0,0,0,
 Jordan,0,0,0,0,0,0,
 Kazakhstan,0,0,0,0,0,0,
 Kenya,0,0,0,0,0,0,
 Korea South,0,0,0,0,0,0,
 Kosovo,0,0,0,0,0,0,
 Laos,440,485,385,435,450,450,
 Liberia,0,0,0,0,0,0,
 North Macedonia,0,0,0,0,0,0,
 Madagascar,300,300,275,300,275,275,
 Malawi,0,0,0,0,0,0,
 Malaysia,1900,2000,2000,2000,1500,1500,
 Mexico,550,530,540,545,545,550,
 Montenegro,0,0,0,0,0,0,
 Morocco,0,0,0,0,0,0,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,0,0,0,0,0,0,
 Nicaragua,80,100,120,160,160,160,
 Nigeria,0,0,0,0,0,0,
 Norway,0,0,0,0,0,0,
 Panama,0,0,0,0,0,0,
 Papua New Guinea,50,50,50,50,50,50,
 Paraguay,0,0,0,0,0,0,
 Peru,0,0,0,0,0,0,
 Philippines,425,400,425,450,425,425,
 Russia,0,0,0,0,0,0,
 Rwanda,0,0,0,0,0,0,
 Saudi Arabia,0,0,0,0,0,0,
 Senegal,0,0,0,0,0,0,
 Serbia,0,0,0,0,0,0,
 Sierra Leone,65,75,40,50,60,50,
 Singapore,0,0,0,0,0,0,
 South Africa,0,0,0,0,0,0,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,0,0,0,0,0,0,
 Taiwan,0,0,0,0,0,0,
 Tanzania,575,525,550,550,600,625,
 Thailand,700,600,650,700,750,700,
 Togo,100,85,80,100,80,100,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,0,0,0,0,0,0,
 Uganda,4450,5900,5060,5575,5400,5400,
 Ukraine,0,0,0,0,0,0,
 United Kingdom,0,0,0,0,0,0,
 United States,0,0,0,0,0,0,
 Uruguay,0,0,0,0,0,0,
 Venezuela,0,0,0,0,0,0,
 Vietnam,30200,28050,30480,27300,28000,27850,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,74109,74439,77927,76646,73500,76380,
