Country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
 Algeria,40,40,40,50,50,50
 Argentina,310,350,360,400,315,325
 Australia,345,210,365,290,350,350
 Canada,1515,1660,1840,1960,1860,1900
 China,1785,1840,2170,1975,1800,1800
 Colombia,130,145,190,180,170,180
 Costa Rica,5,5,5,5,5,5
 Ecuador,90,90,90,110,100,100
 El Salvador,258,215,200,225,240,240
 Guatemala,300,350,344,345,355,350
 Honduras,28,24,21,22,25,25
 India,74,88,49,50,30,30
 Indonesia,766,751,725,983,1000,1000
 Iran,100,40,150,100,80,100
 Japan,630,530,500,535,625,650
 Jordan,310,315,300,275,225,275
 Kazakhstan,225,210,325,500,500,500
 Kenya,11,11,13,15,18,20
 Mexico,380,301,238,274,250,250
 New Zealand,205,270,235,260,225,250
 Nicaragua,25,25,25,25,25,25
 Norway,95,100,90,100,100,100
 Panama,10,15,20,15,20,20
 Peru,119,138,120,90,90,90
 Philippines,5000,5500,5700,5800,5500,5500
 Russia,1015,315,350,400,400,400
 Serbia,315,335,260,265,275,275
 South Africa,310,405,490,350,250,300
 Tanzania,0,6,9,6,6,5
 Ukraine,400,330,450,280,275,300
 United Kingdom,580,105,680,920,900,900
 United States,800,585,1235,725,850,900
 Vietnam,100,100,100,126,200,300
