Table 06C Soluble Coffee Exports


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Soluble Exports,
                        
 Albania,0,0,0,0,0,0,
 Algeria,0,0,0,0,0,0,
 Angola,0,0,0,0,0,0,
 Argentina,0,0,0,0,0,0,
 Armenia,0,0,0,0,0,0,
 Australia,0,0,0,0,0,0,
 Benin,0,0,0,0,0,0,
 Bolivia,0,0,0,0,0,0,
 Bosnia and Herzegovina,0,0,0,0,0,0,
 Brazil,4040,3954,4055,3900,4000,4100,
 Burundi,0,0,0,0,0,0,
 Cameroon,0,0,0,0,0,0,
 Canada,0,0,0,0,0,0,
 Central African Republic,0,0,0,0,0,0,
 Chile,0,0,0,0,0,0,
 China,230,300,315,360,350,325,
 Colombia,1025,1010,1100,950,1000,1000,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),0,0,0,0,0,0,
 Costa Rica,0,0,0,0,0,0,
 Cote dchr(39)Ivoire,290,285,325,270,300,300,
 Croatia,0,0,0,0,0,0,
 Cuba,0,0,0,0,0,0,
 Dominican Republic,0,0,0,0,0,0,
 Ecuador,370,475,413,465,400,400,
 Egypt,0,0,0,0,0,0,
 El Salvador,12,15,11,10,10,10,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,0,0,0,0,0,0,
 European Union,1215,1460,1820,1720,1500,1500,
 Gabon,0,0,0,0,0,0,
 Georgia,0,0,0,0,0,0,
 Ghana,0,0,0,0,0,0,
 Guatemala,5,11,15,15,15,15,
 Guinea,0,0,0,0,0,0,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,0,0,0,0,0,0,
 India,1782,1970,2310,2490,2080,2130,
 Indonesia,1000,1350,1050,1040,1000,1000,
 Iran,0,0,0,0,0,0,
 Jamaica,0,0,0,0,0,0,
 Japan,0,0,0,0,0,0,
 Jordan,0,0,0,0,0,0,
 Kazakhstan,0,0,0,0,0,0,
 Kenya,0,0,0,0,0,0,
 Korea South,0,0,0,0,0,0,
 Kosovo,0,0,0,0,0,0,
 Laos,0,0,0,0,0,0,
 Liberia,0,0,0,0,0,0,
 North Macedonia,0,0,0,0,0,0,
 Madagascar,0,0,0,0,0,0,
 Malawi,0,0,0,0,0,0,
 Malaysia,3000,2780,2975,2500,2300,2400,
 Mexico,945,865,695,880,900,950,
 Montenegro,0,0,0,0,0,0,
 Morocco,0,0,0,0,0,0,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,0,0,0,0,0,0,
 Nicaragua,120,75,65,55,50,50,
 Nigeria,0,0,0,0,0,0,
 Norway,0,0,0,0,0,0,
 Panama,0,0,0,0,0,0,
 Papua New Guinea,0,0,0,0,0,0,
 Paraguay,0,0,0,0,0,0,
 Peru,0,0,0,0,0,0,
 Philippines,0,0,0,0,0,0,
 Russia,0,0,0,0,0,0,
 Rwanda,0,0,0,0,0,0,
 Saudi Arabia,0,0,0,0,0,0,
 Senegal,0,0,0,0,0,0,
 Serbia,0,0,0,0,0,0,
 Sierra Leone,0,0,0,0,0,0,
 Singapore,0,0,0,0,0,0,
 South Africa,0,0,0,0,0,0,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,415,400,365,365,350,350,
 Taiwan,0,0,0,0,0,0,
 Tanzania,30,7,7,10,10,10,
 Thailand,905,885,990,900,1095,1000,
 Togo,0,0,0,0,0,0,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,0,0,0,0,0,0,
 Uganda,0,0,0,0,0,0,
 Ukraine,0,0,0,0,0,0,
 United Kingdom,0,0,0,0,0,0,
 United States,0,0,0,0,0,0,
 Uruguay,0,0,0,0,0,0,
 Venezuela,0,0,0,0,0,0,
 Vietnam,2250,2300,2350,1890,1650,1700,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,17634,18142,18861,17820,17010,17240,
